Nazwa,Rating
['Hejter'],419
['Hajtpark'],412
['Hasztasz'],376
['Hajs'],171
['Harpagan'],169
['Helga'],159
['Halba'],124
['Helikopter'],108
['Herbatnik'],98
['Hebel'],89
['Hasiok'],88
['Harnold'],83
['Hentai'],74
['Hawira'],70
['Hadziaj'],68
['Hasz komora'],62
['Halko'],60
['Helupiarz'],58
['Hashtag'],58
['Haj'],57
['harcować z Włodzimierzem'],55
['Helmut'],54
['Heh'],51
['Haftować'],50
['Hejnał'],48
['Hemp Gru'],47
['Hell yeah'],46
['Hamulec'],45
['Hardcore'],40
['Hardkor'],38
['Hak ci w smak'],38
['haratać w gałę'],35
['Hejt'],35
['HCWD'],35
['Heblować bele'],34
['Hanuszki'],34
['haja'],34
['Helena'],34
['Hardbass'],34
['harcować dziadziem władziem'],33
['Headshot'],31
['Helup'],30
['Hasać'],28
['haiku'],27
"['Hej, skąd klikasz ?']",26
['Hel'],26
['Hak bałwana'],24
['hamulcowa'],24
['Heleniarz'],23
['hambcio'],22
['Heisenberg'],19
['Hamburg'],18
['Hejtować'],18
['Hattrick '],17
['Haluny'],17
['Harynda'],17
['Hajtnąć się'],17
['hardstuck'],16
['Herbaciara'],16
['harnold szwarceneger'],16
['hamulce marki adidas'],16
['Hajsiwo'],15
['Hades'],15
['Harać'],15
['Hasz'],15
['Hello there'],15
['Hanysuana'],14
['haratać'],13
['Haraszo'],12
['HAF'],12
['Half-life 3 confirmed'],12
['Helupa'],12
['Hala Dziecko'],11
['Halupa'],11
['Hasior'],11
['Hakuna matata'],11
['He'],11
['Heftać'],11
['Hajs się zgadza'],10
['Hajde'],10
['harakiri'],10
['Happy slapping'],10
['Hentaice'],10
['Herba'],10
['hadouken'],10
['Hak'],10
['Haclówa'],10
['Headbang'],9
['He-He Hardcore'],9
['herbata Tesli'],9
['hejo'],9
['Hapaj dzidę'],9
['Hagrid'],9
['Hasiu'],8
['hartować zawodnika'],8
['Hendrix'],8
['Hepnąć'],8
['Hapnij dzidę'],8
['harringtonka'],8
['haratać w gargulca'],7
['Harcerzyk'],7
['Handlować'],7
['Hefajstos'],7
['Haziel'],7
['Hawajciara'],7
['helooo-ooł'],7
['Hajza'],7
['Haj bomba'],6
['hedgecock'],6
['Hefalump'],6
['Hańbowstyd'],6
['Hardscope'],6
['Halun'],5
['Hand Solo'],4
['Henio Spocenio'],4
['Hajna'],4
['Hardcorowy'],4
['Hasiomaszketnik'],4
['Hawerfloki'],4
['Haram'],3
['Halo grzybki'],3
['Hampel'],3
['Helupe'],3
['Herbatopij'],3
['Herbata'],3
['Hellena'],3
['Heli'],3
['Hazaj'],3
['Haszysz'],3
['Hasie'],3
['Heat'],3
['Halunki'],3
['Hejpa'],3
['Head (czyt. hed)'],3
['harapuć'],2
['Hattrick'],2
['here'],2
['Hera'],2
['Hardcore dancing'],2
['Halucypki'],2
['Halinka'],2
['Hadkie'],2
['Haps Dyda'],1
['Hapsać'],1
['Hanys'],1
['Harda Suka'],1
['HDK'],1
['Hepać'],1
['hasiosznup'],1
['Hai'],1
['Hajcung'],1
['Hawk tuah'],0
['Henio'],0
['HBD'],0
['Halucynki'],0
['heban'],-1
['Heheszki'],-1
['Haloon'],-1
['happy hardcore'],-1
['Hell rider'],-1
['hapa'],-1
['Hała'],-1
['Hakabajba'],-1
['halt'],-1
['Halsować'],-1
['Haczka'],-1
['hahać się'],-1
['Hanior'],-1
['helicery pająka'],-1
['Hema'],-1
['Hat-trick'],-1
['HB'],-1
['Hattrick jedzeniowy'],-1
['Hanzoś'],-2
['Heniek'],-2
['Halowyny'],-2
['hasiosznupel'],-2
['Hartować (szluga)'],-2
['Hahaszki'],-3
['Hasacz'],-3
['He$'],-3
['Hammer'],-3
['Hapal'],-3
['Hamulcowy'],-3
['haluna'],-4
['harpun'],-4
['Henior'],-4
['Hejb'],-4
['Herbatka'],-4
['helmans'],-4
['Hejstwo'],-4
['Hebes'],-4
['Hazard'],-4
['Hedzisz'],-4
['Halny przywiał'],-5
['hajs się\xa0zgadza'],-5
['Harchociąg'],-5
['Hapaj Dzide'],-5
['Headdesk'],-5
['Hendinio'],-5
['Herbal'],-5
['headzić się'],-5
['Harpiarnia'],-6
['hasak'],-6
['Hasić się'],-6
['Hardmaxing'],-6
['Hadecja'],-6
['Hahy'],-7
['Hałda'],-7
['Hamulcuj'],-7
['Hct'],-7
['hassan'],-7
['hantować'],-8
['Hancel'],-8
['Hajgajgi'],-8
['helloł'],-8
['Hejnalistka'],-8
['Harem'],-8
['Hemingway'],-8
['helot'],-9
['harlem shake'],-9
['Haszyk'],-9
['Hardstylizowanie'],-9
['halogen'],-9
['Hercowny'],-10
['hejcia'],-10
['Harnabuzdy'],-11
['Harpyźnie'],-12
['Happy Hours'],-12
['Heloooooł????'],-12
['Hale Bale/e'],-13
['Hampić się'],-13
['Hapka'],-13
['Hajdafery'],-14
['Heps'],-14
['Hajt'],-14
['Helpować'],-16
['Headshoot'],-16
['happy hour'],-16
['Hehe'],-17
['Helow'],-17
['Hajdan'],-18
['Hej'],-18
['Hed'],-24
['Häftling'],-24
['Harry Potter'],-26
['hatecore'],-29
['hejciam'],-29
['Hardo'],-35
['haken krojce'],-35
